vCM1_n,vCM1_l,vCM1_p,vCM2_n,vCM2_l,vCM2_p,vCM3_n,vCM3_l,vCM3_p,vCM4_n,vCM4_l,vCM4_p
Tnni3k,2.2578247,3.5862330649093474e-44,Shld1,2.7315304,1.4943791667552298e-28,Slmap,2.1292782,1.5214552293507156e-26,Camk1d,3.8868766,4.808750576467177e-228
Prkce,2.3398952,5.225234891492632e-43,Ablim1,1.6620921,1.6167209683721626e-28,Usp28,2.8704937,1.9108986777139393e-26,Actc1,3.7820811,9.781199154356692e-221
Mef2a,2.0370822,3.467740709072759e-42,Fgfr2,2.4652271,2.3932455651386896e-28,Fhl1,3.2943935,4.112161335243408e-26,Cox6a2,6.057563,3.546478456979603e-206
Nr3c2,2.361408,8.194425517135988e-42,Cobll1,2.2504594,3.2603588077496543e-28,Lrrcc1,3.721988,1.0845405625649448e-24,Mt-nd3,7.238171,4.479473654993125e-202
Gm30382,2.4597814,1.723298401498489e-41,Zbtb20,1.2475833,1.7918445368252784e-27,Scube2,4.4594994,1.1871489823410037e-24,Tpt1,6.57666,3.3728994472181587e-199
Xist,2.4094071,5.591966755466754e-41,Slc4a4,2.5997753,1.6881908606567156e-26,Hectd2os,2.9940958,1.8667093992709132e-24,Cox4i1,5.2580953,8.185055009130287e-187
Tbc1d4,2.1550994,1.5987285109422929e-40,Lncpint,2.2711802,2.4143594950131798e-26,Sorbs2os,3.0047846,2.2410415273966167e-24,Cox6c,5.066829,2.7327239685598944e-180
Ehbp1,2.173243,3.2544333070296386e-40,Igf1r,2.7746773,3.05435497620087e-26,Cdh2,1.6328071,2.540588431608835e-24,Uqcrq,5.554971,6.1950514479667195e-180
Arhgap26,2.126073,1.0531706506429414e-39,Fry,2.1482556,4.398467892142096e-26,Otulin,3.0062146,1.7811035746375994e-23,Mt-nd4l,6.6148996,1.6950913021036863e-176
Baz2b,2.374992,1.1909387833408828e-39,Pank1,2.5447412,4.9816930990677407e-26,Gm13481,3.0837271,2.4211864958551403e-23,Lars2,4.0337934,8.015089934082571e-168
Fbxl17,2.3679948,1.2976048977026376e-39,D830032e09rik,2.6545053,8.994199697330684e-26,Slc38a2,2.5365565,2.489283491011665e-23,Fth1,6.150551,6.296355835125768e-163
Ghr,2.1093438,3.32071441803587e-39,Wnk2,2.6317778,1.045340665744045e-25,Pakap,3.1235352,2.853489445708789e-23,Ndufa4,5.0497327,1.590287986467809e-162
Rbfox1,2.1739328,4.8868400423983646e-39,Fhod3,1.7317257,2.4150343869819886e-25,Myom1,1.1127222,3.119424493195174e-23,Cox7c,4.7109385,3.188000815016627e-160
Pde4b,2.285554,6.924565391053832e-39,Adk,2.0023584,4.0158024542302275e-25,Map4,1.9990355,3.9718347303872685e-23,Cox7a1,5.806422,5.625125090317413e-160
Mllt10,2.365458,1.3461718685954764e-38,Ryr2,1.2141912,9.011357915883118e-25,Actn2,1.2519825,4.754902743496826e-23,Cmss1,2.6277766,3.276480087829548e-155
Atrnl1,2.3650208,1.5152366785739638e-38,Zbtb16,2.2978423,3.215963456454175e-24,Tcf4,2.5176795,1.4217849499347883e-22,Rplp1,6.073528,3.3299573820215326e-154
Gramd1b,2.2342162,2.481491530936497e-38,Corin,2.0554724,4.835176920501553e-24,Abra,3.1664903,2.79934583902724e-22,Atp5g3,4.8791895,8.00174946166753e-154
Kcnj3,2.2083354,3.073905013056588e-38,Thrb,2.2694726,7.234441608507017e-24,Picalm,2.4752724,3.639558677463115e-22,Cox8b,5.4719462,1.6424086104899e-153
Fign,2.2525198,4.641595554456419e-38,Cdc37l1,2.1675892,1.3779722824843757e-23,Airn,2.1670501,5.725935025062322e-22,Uqcr11,5.6423864,5.97461164586076e-153
Pbx1,2.074466,5.954482784793637e-38,Mir133a-1hg,2.3132935,1.4457910868653593e-23,Cacna2d1,2.0114622,5.853268786134646e-22,Atp5h,4.8100233,1.109891984516394e-152
Gab1,2.1940656,2.60208439360742e-37,Vegfa,2.1835582,8.481917663600128e-23,Prkca,2.6203003,6.735075246005353e-22,Atp5e,5.7336965,9.981231347813206e-152
Mhrt,1.9467494,4.528730131680786e-37,Appl2,2.426257,1.1343543518749548e-22,Rnf115,2.9732442,1.44632855943046e-21,Rps29,6.058434,2.1330636154824978e-150
Pard3,2.0670044,8.139059262412862e-37,Pdzrn3,2.7102413,6.068245595852101e-22,Flnc,3.0337663,1.9384491232176565e-21,Atp5g1,4.835307,2.53186543549515e-150
